factor,type,direction,ic_mean,ic_std,ic_ir,ic_positive_ratio,sharpe,long_sharpe,short_sharpe,ann_ret,long_ann_ret,short_ann_ret,max_dd,final_nav,n_days,avg_valid_count,ret_2022,ret_2023,ret_2024,ret_2025
strong_tide,Intraday,-1,0.004521437173255482,0.1074989929107346,0.04206027080093021,0.5199175824175823,-0.6905765756014961,-0.6729470209608444,0.47115834775017096,-0.0827792187606401,-0.5869705362897655,0.054966609687877144,-0.31177507777013125,0.7084460587613636,1456,208.5359342915811,-0.06493846633583056,-0.05535860904023204,-0.1404127612664824,-0.0669397959513387
first_hour_ret,Intraday,-1,0.0019533260794037145,0.13725705782397937,0.01423115115579105,0.5034340659340659,-0.723212199592323,-0.6588658520898653,0.418408445230937,-0.10339187118520343,-0.5947632670959364,0.004355096754283361,-0.4031922805941186,0.64703848177694,1456,209.97056810403834,-0.18383276180041308,0.023823494753036245,-0.17226435903599724,-0.06452064913452593
time_center_diff,Intraday,1,0.003665409863635606,0.1259378348655794,0.029104911772532754,0.5199175824175825,-0.7403303768519073,-0.762539696352537,0.5306016569916586,-0.0977619919453796,-0.6193503571774959,0.10911026346245944,-0.49264705028250677,0.6633979196009538,1456,209.70773442847366,0.08340416214249502,-0.18555941007872812,-0.18099179310162805,-0.0820142448215635
jump_count,Intraday,-1,0.016738214974558557,0.10553782527716657,0.15859918796515168,0.5528846153846154,-0.7469031069764948,-0.6041529099091125,0.376861361876698,-0.08392418542989799,-0.553080111380372,-0.0316756061193213,-0.3985855296294398,0.704924913447814,1456,209.70773442847366,-0.022150914635235663,-0.14761949249437045,-0.11839584154024851,-0.04067914429225572
trend_strength,Daily,-1,0.044674468521855644,0.15169481554531122,0.2945022571551815,0.6208791208791209,-0.7585477960599495,-0.6762037422975405,0.37297050877934995,-0.11059904885055816,-0.5673768211604242,-0.03311261534363452,-0.4497564765427333,0.6265391201627467,1456,195.31895961670088,-0.3214016192464222,-0.15819423327562576,0.010398850509043767,0.08550201476116737
obv_change,Daily,-1,0.0227516699605753,0.09887243248654494,0.23011133727854918,0.6085164835164836,-0.7739832594650662,-0.6018615835051978,0.3920640959363684,-0.08741458089579146,-0.5875151319978723,-0.034559279214274374,-0.3863917337156618,0.6942716965930932,1456,204.77207392197124,-0.188318576658547,-0.1327755904349196,-0.018751211038940063,0.005155439126927952
volatility_20,Daily,-1,0.07239680115109674,0.22474543151986529,0.32212800696425953,0.6401098901098901,-0.7751622436615,-0.5423438805104303,0.28042712783786417,-0.16668778930216854,-0.6119076933355153,-0.026528117502821247,-0.5309770652301892,0.48316875608484394,1456,205.02053388090349,-0.21591215441748735,-0.003396634215153349,-0.0745336260713182,-0.3318851449509227
realized_kurt,Intraday,-1,0.012407901274038369,0.11613066898539594,0.1068443014580043,0.5398351648351649,-0.7767549974054839,-0.5975530728545527,0.33979229604671707,-0.09659574176344665,-0.5521696701019304,-0.06522570055584576,-0.40392400233441517,0.6668252195967129,1456,209.70773442847366,-0.09999758838726958,-0.16493903638800578,-0.15508793079129723,0.050119316769434485
vol_conditional_impact,Intraday,-1,0.021185767150289303,0.11661497828086416,0.1816727631894447,0.5631868131868132,-0.7869459828395385,-0.6484606678305237,0.40387161672651356,-0.09838526549893456,-0.5764083108587852,-0.0015708775289335897,-0.3746800877097546,0.6615717050732465,1456,208.53045859000684,-0.12146747134858438,0.02329751264778457,-0.19424630470165838,-0.08669706832997337
taker_persistence,Intraday,-1,0.015045404586352682,0.0987657261850713,0.15233425241887513,0.5570054945054945,-0.8583333308992106,-0.5350022483862278,0.31390927325951434,-0.09224097505587281,-0.5452430219901319,-0.07298893483965074,-0.35231195373072766,0.6797401106728668,1456,208.5359342915811,-0.11924979635086186,-0.10397963374008867,-0.010134853500938346,-0.1298457782463852
asia_morning_ret,Intraday,-1,0.007555896726415965,0.14016395631917128,0.05390755502173948,0.5260989010989011,-0.8669137110968526,-0.7702692760344187,0.4580756502289449,-0.12371121950407937,-0.6237752413069131,0.0333861718558357,-0.4462423940048129,0.5904967726799658,1456,209.73853524982889,-0.1759315255592182,-0.05562589381565852,-0.14722274478469632,-0.11023657591668212
brilliant_vol,Intraday,-1,0.023211549803637183,0.10860563543347873,0.21372323428485424,0.5837912087912087,-0.8718758041705656,-0.4564377337016672,0.20691514154047577,-0.09677332707743647,-0.49768507331987133,-0.15575558206648876,-0.3738917347545495,0.6663024890845951,1456,208.49418206707733,-0.1350534010151917,-0.07431592961734834,-0.139605569289321,-0.032787814232994594
vol_concentration,Intraday,-1,0.00902741383195885,0.1075942039281643,0.08390240982648045,0.5418956043956045,-0.9221621656152373,-0.5943228082165691,0.3207641329684138,-0.1000776906479306,-0.5469500027579349,-0.07849183593295528,-0.44621724278818575,0.6566318369711588,1456,208.5359342915811,-0.24173661511788347,-0.13780036732988776,-0.11835488291506713,0.13920061439672904
