logic,window,penalty,dir_th,opt_sharpe,opt_ret,opt_dd,test_sharpe,test_ret,test_dd,test_total
ewm,14,100,OFF,1.7180717418526215,0.637711764408966,0.25106040780080474,3.337658609123024,1.4831228343563785,0.11897684400136538,0.1468860684155675
sma+dir,14,100,0.001,1.4377176862018877,0.4813965927294219,0.3226532495682863,1.189002025219959,0.3126536257328203,0.16090585328072043,0.04184580200145094
sma+dir,14,100,0.002,1.576808042578348,0.5396258281106767,0.27314614424704725,1.2755803922275066,0.36124668024876594,0.16758939027210118,0.04756809410660301
sma+dir,14,100,0.003,1.7096124914153643,0.6035226384510826,0.27343673503591426,1.740586643775138,0.558853101825957,0.17452219198910526,0.0691849503322377
sma,14,150,OFF,1.7236983697680204,0.6330644042170848,0.2591568498636627,2.4183226041963093,0.8867644562481074,0.13259384281560374,0.10038965961279556
ewm,14,150,OFF,1.877583433625091,0.7103442820107662,0.25538690110484275,4.067421351207195,1.9333533167455186,0.13079282932619618,0.17604724532712868
sma+dir,14,150,0.001,1.5008342423824037,0.5210344317093865,0.32432679240807094,1.5600251147809763,0.4467651055351829,0.1637769919235488,0.057230212501361066
sma+dir,14,150,0.002,1.7274717508933426,0.6254784390568078,0.27696256860025176,1.6101781646469635,0.5037403457164182,0.17797431738089584,0.06340152572065993
sma+dir,14,150,0.003,1.8937210071209918,0.7107694467207128,0.271341628794264,2.014917764161727,0.703450194713023,0.1833557266050299,0.08357221637025081
sma,14,200,OFF,1.8518535962449347,0.7020975161616021,0.250284312545751,2.979561719892561,1.1905588789938442,0.1364939192922769,0.1254248397561466
ewm,14,200,OFF,2.025326840527041,0.7914375196088164,0.24682208871455535,3.7332678993044826,1.6639314612968876,0.14222311551248887,0.1590973453630935
sma+dir,14,200,0.001,1.595413803898193,0.5701683689608716,0.3151063189065594,1.9742390091276092,0.5943962815403558,0.15663599612994383,0.07282332067585351
sma+dir,14,200,0.002,1.8551929167635148,0.6932131805646471,0.24889028465473964,1.7755989926687752,0.5566428501360736,0.17364931243370407,0.06895637948154554
sma+dir,14,200,0.003,1.9533351921508841,0.7442645692323047,0.248735812838528,2.281057076322931,0.8180479168341264,0.1791955608295796,0.09425517878030965
sma,14,250,OFF,1.9325055998166099,0.7319130803297247,0.25967536354771914,3.4878236721511215,1.3912939259415884,0.13894031718348365,0.14039231440863364
ewm,14,250,OFF,1.932875894047651,0.7376106157958355,0.2507142085425127,2.7242099491524243,1.0151818102576189,0.1640447983734615,0.11136206751689448
sma+dir,14,250,0.001,1.7663074775770795,0.6462825438747137,0.3073637423296913,2.442131215813102,0.8027038592063196,0.14742375877161518,0.0928585364575758
sma+dir,14,250,0.002,1.8907597781150938,0.7051598037095355,0.26836166365794856,2.0900962627354693,0.6653848300782206,0.16789001407587428,0.07988849179180213
sma+dir,14,250,0.003,1.9517871118742376,0.7361951481467399,0.2701579062471182,2.6659472047992443,0.9715513131107039,0.16920148173200464,0.10770250048233865
sma,14,300,OFF,1.9309663780868354,0.7313800586470327,0.2615948098497478,2.640099969162257,0.9937391573258112,0.1606247620923731,0.10957203645482338
ewm,14,300,OFF,1.7887982467407606,0.6552557954792986,0.2815061869659968,2.480510076568312,0.8804919961454649,0.17284017511104002,0.0998376451080969
sma+dir,14,300,0.001,1.729833229153028,0.6229618723321906,0.2989838521716385,1.4423265364717468,0.41614641166845145,0.16871858555330208,0.05382797249730831
sma+dir,14,300,0.002,1.840425115459938,0.6765718368347107,0.26562594393930833,1.4333430748997682,0.42291322599828285,0.18258866652517633,0.054585216945518766
sma+dir,14,300,0.003,1.9559792070388973,0.7376646015147368,0.26612307292369997,1.6404767697405924,0.5269475333437377,0.194142415378952,0.06585842927571828
sma,14,400,OFF,1.8756192693218203,0.6931711894673065,0.26404148119244436,2.5007730478081465,0.9574953694001551,0.17639207333809873,0.10650888749333198
ewm,14,400,OFF,1.60972603353609,0.5673584828059461,0.3521389266470016,1.5475532926239481,0.47093864967547505,0.18324748332133256,0.05987335619911471
sma+dir,14,400,0.001,1.7209434319420602,0.6143034332039801,0.25896626667025185,1.4502601968419813,0.42675980317718976,0.16711738680755892,0.05501430805913099
sma+dir,14,400,0.002,1.7831548548645648,0.6453857230118085,0.260338135019983,1.7898097143777512,0.5675018415897859,0.1771122457011996,0.07007671315487252
sma+dir,14,400,0.003,1.8570989139065055,0.682292967680926,0.26404148118258813,2.193219329621713,0.7744657636204797,0.18102332937740923,0.09026165480689574
sma,14,500,OFF,1.6005158950815652,0.5627069112999108,0.3119089441930324,1.583524823993699,0.5465693846531212,0.21389426727868055,0.0679111387211635
ewm,14,500,OFF,1.4417738708902426,0.4872893169730863,0.34357655118162356,1.532109485565068,0.4930032126341506,0.1961891065486337,0.06225389210488075
sma+dir,14,500,0.001,1.5213908859855882,0.5214529034899513,0.32788392150147,1.1765632649735618,0.3450080819060155,0.2005009085752568,0.04567542568455307
sma+dir,14,500,0.002,1.5477373280132625,0.534672487747597,0.3323511748415559,1.7053785675387776,0.5856834518394416,0.20891202206749665,0.07193785640203831
sma+dir,14,500,0.003,1.604664347008304,0.5631642140545559,0.32274746123979425,1.6400226391969348,0.5719705634103691,0.21783400686837642,0.07053584226639131
sma,14,700,OFF,1.4926651778582,0.5146969869505269,0.2898196349510909,1.6732861271935502,0.6019836962367047,0.2065957869517056,0.07359107030186185
ewm,14,700,OFF,1.3348587212752232,0.4422066232036499,0.3115748855380011,1.7822503964798706,0.5782668223666965,0.1825247932647294,0.07118086008796287
sma+dir,14,700,0.001,1.3389878387830398,0.44204803798390935,0.2941864370538568,1.5793741676783721,0.5364370247507622,0.19489456914226908,0.06685393758183023
sma+dir,14,700,0.002,1.4190236872321869,0.4807790649127248,0.29668769886343177,1.6986268828602573,0.6024343247713462,0.20103753765735566,0.07363657093503062
sma+dir,14,700,0.003,1.4780196007511903,0.5078752914465163,0.2898196349545363,1.6732861271935502,0.6019836962367047,0.2065957869517056,0.07359107030186185
sma,14,1000,OFF,1.172939337135443,0.3724013323173172,0.32549241957173786,1.8116526739096124,0.6497659727040608,0.17918058959738337,0.078356277063377
ewm,14,1000,OFF,1.299615124578727,0.423227683214642,0.28205850960630896,1.410942296734443,0.4163530619514011,0.1656302031203073,0.05385114326827978
sma+dir,14,1000,0.001,1.2339967119579212,0.3962848961089587,0.3295526682186954,1.4190693638684946,0.45802508757583094,0.1807752862170556,0.05846601249945538
sma+dir,14,1000,0.002,1.2080505648488191,0.3874255353143856,0.31194328633877,1.7963555214621938,0.6416889452030765,0.17918058959633634,0.07755907936989459
sma+dir,14,1000,0.003,1.1821559582175765,0.3763128508696365,0.32549241959103287,1.8116526739096124,0.6497659727040608,0.17918058959738337,0.078356277063377
sma,21,50,OFF,1.4515551251583672,0.4952199337995178,0.23856394551534005,0.8176728893187366,0.2230821504605618,0.1365196877429643,0.030809103526019177
ewm,21,50,OFF,1.5904838590820694,0.555508703519275,0.221758619209227,0.3329617405693956,0.05748968810613997,0.14438574305137,0.008458541327590163
sma+dir,21,50,0.001,1.532344354219885,0.517533082666839,0.262084251887671,1.2804223916825057,0.3480865632650456,0.14941584835381783,0.046035719354597715
